e, spectrum, unc
2.819999999999999840e+00,1.707137512218324736e+18,2.939798265708021522e+08
2.830000000000000071e+00,1.696142012179720192e+18,2.960342129673880339e+08
2.839999999999999858e+00,1.680188334877001472e+18,2.904462125449990034e+08
2.850000000000000089e+00,1.670884035286788352e+18,2.881493701061908007e+08
2.859999999999999876e+00,1.660694136142702592e+18,2.804259225695526004e+08
2.870000000000000107e+00,1.650524520756840704e+18,2.812430928282217979e+08
2.879999999999999893e+00,1.625980841624060416e+18,2.789393421383121610e+08
2.890000000000000124e+00,1.617691769860180224e+18,2.739572906888900399e+08
2.899999999999999911e+00,1.602706086110401792e+18,2.770385712525405288e+08
2.910000000000000142e+00,1.594111490384545280e+18,2.982575759553011060e+08
2.919999999999999929e+00,1.582179067017751040e+18,2.800366648745889664e+08
2.930000000000000160e+00,1.560115573504051200e+18,2.725449143462431431e+08
2.939999999999999947e+00,1.549392091256668928e+18,2.736049726747631431e+08
2.950000000000000178e+00,1.537237047032701696e+18,2.720157954280495644e+08
2.959999999999999964e+00,1.529033374567832320e+18,2.683877184266327024e+08
2.970000000000000195e+00,1.522051969603531008e+18,2.664367468965519369e+08
2.979999999999999982e+00,1.514977713227983104e+18,2.678669648869983554e+08
2.990000000000000213e+00,1.491507842490035712e+18,2.645399202467943430e+08
3.000000000000000000e+00,1.472064446712136448e+18,2.656995199819968343e+08
3.010000000000000231e+00,1.459785751516602880e+18,2.645262728085309863e+08
3.020000000000000018e+00,1.451251252020141824e+18,2.655571568723160923e+08
3.030000000000000249e+00,1.444728001975600896e+18,2.597502938897885084e+08
3.040000000000000036e+00,1.436945922292730112e+18,2.676089804461210072e+08
3.050000000000000266e+00,1.429736851412392704e+18,2.577216545828955472e+08
3.060000000000000053e+00,1.420692534764582912e+18,2.599907279482907951e+08
3.070000000000000284e+00,1.411847335445317632e+18,2.579765894396770000e+08
3.080000000000000071e+00,1.404537314721868544e+18,2.522809763304792047e+08
3.089999999999999858e+00,1.397595308100627968e+18,2.622594169729416072e+08
3.100000000000000089e+00,1.390506504323681792e+18,2.541477684313720763e+08
3.109999999999999876e+00,1.382842097773540352e+18,2.536696404304946661e+08
3.120000000000000107e+00,1.374201723921437696e+18,2.453728281684334874e+08
3.129999999999999893e+00,1.366564106280264192e+18,2.462251836934200525e+08
3.140000000000000124e+00,1.359782599745953536e+18,2.464544174763780236e+08
3.149999999999999911e+00,1.349931432934024192e+18,2.446610887140032947e+08
3.160000000000000142e+00,1.339966981944096512e+18,2.551834592747298181e+08
3.169999999999999929e+00,1.332287321291913216e+18,2.389410862980502248e+08
3.180000000000000160e+00,1.324020080690531584e+18,2.442311088154454231e+08
3.189999999999999947e+00,1.316498871453011200e+18,2.394299962466467321e+08
3.200000000000000178e+00,1.307947551098985472e+18,2.444915971212638021e+08
3.209999999999999964e+00,1.300426168518354688e+18,2.439614202290594876e+08
3.220000000000000195e+00,1.293472506903329536e+18,2.485987190650067627e+08
3.229999999999999982e+00,1.286381750125722112e+18,2.365172159706774056e+08
3.240000000000000213e+00,1.277960572128228608e+18,2.555621924883790910e+08
3.250000000000000000e+00,1.268910669360355584e+18,2.358728015499462485e+08
3.260000000000000231e+00,1.253061949954676480e+18,2.359791993092184961e+08
3.270000000000000018e+00,1.245976595734162688e+18,2.373349726687546968e+08
3.280000000000000249e+00,1.225975177678313216e+18,2.214034177549848258e+08
3.290000000000000036e+00,1.219155299088352512e+18,2.227038921457023919e+08
3.300000000000000266e+00,1.212131528271515648e+18,2.200787785266275704e+08
3.310000000000000053e+00,1.203273544193781760e+18,2.249687066005509198e+08
3.320000000000000284e+00,1.194744531351182336e+18,2.172388398350459635e+08
3.330000000000000071e+00,1.187603363475357696e+18,2.153581757806203663e+08
3.339999999999999858e+00,1.180752953817677568e+18,2.189785052831333876e+08
3.350000000000000089e+00,1.168749629714769152e+18,2.165374401748259962e+08
3.359999999999999876e+00,1.156169275646129920e+18,2.169192091154339015e+08
3.370000000000000107e+00,1.148519399844310272e+18,2.165121532657405436e+08
3.379999999999999893e+00,1.140212316399054464e+18,2.129773338901364803e+08
3.390000000000000124e+00,1.132219985090920576e+18,2.138779461351900399e+08
3.399999999999999911e+00,1.115016382559606144e+18,2.128403500212669969e+08
3.410000000000000142e+00,1.107335076169627648e+18,2.124852043263439834e+08
3.419999999999999929e+00,1.092870150260592640e+18,2.143202914933450818e+08
3.430000000000000160e+00,1.080757273999810176e+18,2.123692114796629846e+08
3.439999999999999947e+00,1.074008736217627392e+18,2.126820479606390297e+08
3.450000000000000178e+00,1.067338019702007680e+18,2.109079639062610567e+08
3.459999999999999964e+00,1.061223324176490624e+18,2.092970458740399778e+08
3.470000000000000195e+00,1.052357013848970240e+18,2.063328067192626595e+08
3.479999999999999982e+00,1.042241046958628480e+18,2.078344542292651832e+08
3.490000000000000213e+00,1.034942808129435136e+18,2.126151944529619515e+08
3.500000000000000000e+00,1.028905399507033856e+18,2.065070932705604136e+08
3.510000000000000231e+00,1.022700740422182912e+18,2.070160134010099173e+08
3.520000000000000018e+00,1.016699219825609216e+18,2.065272427512269020e+08
3.530000000000000249e+00,1.010279201360288384e+18,2.058153718775508106e+08
3.540000000000000036e+00,1.003353067000066176e+18,2.060415189276396334e+08
3.550000000000000266e+00,9.970149266851792640e+17,2.065173238501689136e+08
3.560000000000000053e+00,9.908050690748074240e+17,2.051091974084193707e+08
3.570000000000000284e+00,9.844199980222886400e+17,2.028382386046904922e+08
3.580000000000000071e+00,9.788235281985611520e+17,2.038856016646898091e+08
3.589999999999999858e+00,9.730145411506169600e+17,1.999855804951606691e+08
3.600000000000000089e+00,9.670495312646954240e+17,1.993590104419609606e+08
3.609999999999999876e+00,9.612812735166922240e+17,2.015601041129729152e+08
3.620000000000000107e+00,9.549504023278988800e+17,1.998568805881289542e+08
3.629999999999999893e+00,9.466738139604065280e+17,1.986589997444454134e+08
3.640000000000000124e+00,9.303678548534156800e+17,1.970926358505021930e+08
3.649999999999999911e+00,9.180941015811488000e+17,1.937895457156608403e+08
